,title,total clausulae,pure cretic trochee (-u--x),cretic trochee 1 res (uuu--x),cretic trochee 1 res (-uuu-x),cretic trochee 1 res (-u-uux),cretic trochee 1 res total,cretic trochee 2 res (uuuuu-x),cretic trochee 2 res (uuu-uux),cretic trochee 2 res (-uuuuux),cretic trochee 2 res total,cretic trochee pure+res total,cretic trochee choriambic res,cretic trochee chor 1 res (uuuu--x),cretic trochee chor 1 res (-uuuu-x),cretic trochee chor 1 res (-uu-uux),cretic trochee chor 1 res total,cretic trochee choriambic total,cretic trochee epitrite res,cretic trochee ep 1 res (uuu---x),cretic trochee ep 1 res (-uuu--x),cretic trochee ep 1 res (-u-uu-x),cretic trochee ep 1 res (-u--uux),cretic trochee ep 1 res total,cretic trochee epitrite total,cretic trochee total
0,pro roscio comoedo,980.0,55.0,9.0,11.0,11.0,31.0,2.0,4.0,1.0,7.0,93.0,8.0,2.0,4.0,3.0,9.0,17.0,23.0,4.0,6.0,4.0,3.0,17.0,40.0,150.0
1,lucullus,2328.0,155.0,30.0,55.0,18.0,103.0,2.0,3.0,4.0,9.0,267.0,7.0,2.0,11.0,5.0,18.0,25.0,24.0,6.0,26.0,5.0,5.0,42.0,66.0,358.0
2,pro fonteio,548.0,48.0,7.0,18.0,3.0,28.0,1.0,0.0,0.0,1.0,77.0,3.0,0.0,0.0,1.0,1.0,4.0,6.0,0.0,6.0,1.0,1.0,8.0,14.0,95.0
3,epistulae ad brutum,1382.0,78.0,19.0,26.0,11.0,56.0,3.0,3.0,3.0,9.0,143.0,10.0,2.0,3.0,4.0,9.0,19.0,18.0,3.0,16.0,10.0,11.0,40.0,58.0,220.0
4,pro balbo,696.0,79.0,5.0,25.0,7.0,37.0,2.0,1.0,0.0,3.0,119.0,0.0,4.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,1.0,3.0,5.0,128.0
5,orator,2410.0,150.0,34.0,53.0,19.0,106.0,10.0,1.0,1.0,12.0,268.0,11.0,2.0,3.0,3.0,8.0,19.0,18.0,3.0,32.0,4.0,4.0,43.0,61.0,348.0
6,de fato,698.0,47.0,6.0,13.0,3.0,22.0,3.0,1.0,1.0,5.0,74.0,8.0,0.0,0.0,0.0,0.0,8.0,4.0,1.0,6.0,2.0,1.0,10.0,14.0,96.0
7,de partitione oratoria,1200.0,105.0,18.0,31.0,10.0,59.0,2.0,2.0,5.0,9.0,173.0,8.0,2.0,1.0,0.0,3.0,11.0,12.0,5.0,16.0,1.0,1.0,23.0,35.0,219.0
8,laelius de amicitia,1174.0,96.0,13.0,44.0,13.0,70.0,1.0,3.0,2.0,6.0,172.0,4.0,3.0,1.0,1.0,5.0,9.0,8.0,2.0,10.0,2.0,0.0,14.0,22.0,203.0
9,pro rabirio postumo,610.0,36.0,10.0,9.0,4.0,23.0,1.0,1.0,3.0,5.0,64.0,4.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,8.0,2.0,1.0,13.0,19.0,87.0
10,de legibus,2474.0,122.0,11.0,62.0,14.0,87.0,7.0,4.0,1.0,12.0,221.0,11.0,2.0,3.0,1.0,6.0,17.0,21.0,6.0,9.0,3.0,3.0,21.0,42.0,280.0
11,topica,1146.0,54.0,12.0,18.0,12.0,42.0,3.0,1.0,5.0,9.0,105.0,7.0,3.0,4.0,1.0,8.0,15.0,16.0,2.0,7.0,6.0,4.0,19.0,35.0,155.0
12,cato maior de senectute,1102.0,101.0,14.0,24.0,9.0,47.0,1.0,0.0,0.0,1.0,149.0,6.0,2.0,2.0,0.0,4.0,10.0,7.0,3.0,12.0,4.0,1.0,20.0,27.0,186.0
13,in caecilium,668.0,66.0,7.0,15.0,10.0,32.0,1.0,0.0,0.0,1.0,99.0,4.0,1.0,0.0,0.0,1.0,5.0,10.0,3.0,6.0,0.0,3.0,12.0,22.0,126.0
14,in vatinium,400.0,39.0,1.0,18.0,4.0,23.0,3.0,1.0,0.0,4.0,66.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,1.0,8.0,75.0
15,epistulae ad atticum,23924.0,1084.0,220.0,337.0,239.0,796.0,49.0,50.0,50.0,149.0,2029.0,244.0,60.0,61.0,64.0,185.0,429.0,372.0,103.0,147.0,88.0,140.0,478.0,850.0,3308.0
16,de natura deorum,4302.0,319.0,51.0,134.0,26.0,211.0,14.0,9.0,6.0,29.0,559.0,22.0,11.0,9.0,13.0,33.0,55.0,25.0,6.0,38.0,8.0,10.0,62.0,87.0,701.0
17,pro marcello,300.0,21.0,4.0,9.0,1.0,14.0,1.0,0.0,0.0,1.0,36.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0,4.0,7.0,45.0
18,de finibus,5518.0,331.0,49.0,142.0,27.0,218.0,14.0,8.0,5.0,27.0,576.0,25.0,7.0,9.0,11.0,27.0,52.0,46.0,19.0,40.0,16.0,15.0,90.0,136.0,764.0
19,pro cluentio,2550.0,251.0,24.0,64.0,26.0,114.0,7.0,3.0,2.0,12.0,377.0,11.0,2.0,2.0,2.0,6.0,17.0,23.0,7.0,21.0,8.0,3.0,39.0,62.0,456.0
20,post reditum ad populum,216.0,26.0,1.0,11.0,1.0,13.0,1.0,0.0,0.0,1.0,40.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,45.0
21,pro milone,1278.0,97.0,5.0,31.0,10.0,46.0,8.0,2.0,1.0,11.0,154.0,6.0,0.0,1.0,2.0,3.0,9.0,10.0,3.0,5.0,3.0,1.0,12.0,22.0,185.0
22,arati prognotica,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
23,epistula ad ocatianum,132.0,13.0,1.0,4.0,3.0,8.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,23.0
24,post reditum in senatu,366.0,38.0,9.0,14.0,4.0,27.0,2.0,1.0,0.0,3.0,68.0,2.0,2.0,0.0,0.0,2.0,4.0,4.0,3.0,7.0,0.0,0.0,10.0,14.0,86.0
25,paradoxa stoicorum,636.0,37.0,5.0,9.0,8.0,22.0,0.0,0.0,0.0,0.0,59.0,3.0,3.0,2.0,0.0,5.0,8.0,5.0,1.0,2.0,2.0,1.0,6.0,11.0,78.0
26,de haruspicum responso,846.0,83.0,8.0,37.0,9.0,54.0,7.0,0.0,1.0,8.0,145.0,2.0,0.0,2.0,0.0,2.0,4.0,9.0,1.0,8.0,3.0,1.0,13.0,22.0,171.0
27,arati phaenomena,502.0,6.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,4.0,4.0,7.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,19.0
28,in sallustinum,224.0,16.0,6.0,3.0,5.0,14.0,0.0,0.0,1.0,1.0,31.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,6.0,0.0,0.0,8.0,14.0,47.0
29,pro archia,294.0,27.0,3.0,10.0,3.0,16.0,3.0,1.0,0.0,4.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,4.0,7.0,54.0
30,pro flacco,1686.0,123.0,19.0,49.0,13.0,81.0,7.0,2.0,4.0,13.0,217.0,5.0,3.0,0.0,0.0,3.0,8.0,15.0,3.0,15.0,2.0,4.0,24.0,39.0,264.0
31,orationum depertiarum frr,770.0,51.0,8.0,10.0,7.0,25.0,4.0,2.0,0.0,6.0,82.0,5.0,3.0,1.0,1.0,5.0,10.0,5.0,1.0,5.0,3.0,4.0,13.0,18.0,110.0
32,epistulae fragmenta,278.0,13.0,1.0,5.0,5.0,11.0,0.0,1.0,0.0,1.0,25.0,5.0,0.0,0.0,2.0,2.0,7.0,4.0,1.0,1.0,1.0,2.0,5.0,9.0,41.0
33,pro roscio amerino,1802.0,80.0,28.0,36.0,20.0,84.0,8.0,4.0,5.0,17.0,181.0,14.0,5.0,4.0,3.0,12.0,26.0,17.0,3.0,21.0,4.0,4.0,32.0,49.0,256.0
34,de republica,3190.0,117.0,20.0,49.0,15.0,84.0,4.0,2.0,2.0,8.0,209.0,10.0,3.0,2.0,7.0,12.0,22.0,28.0,4.0,17.0,5.0,9.0,35.0,63.0,294.0
35,pro lege manilia,604.0,88.0,6.0,31.0,5.0,42.0,2.0,0.0,0.0,2.0,132.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,6.0,0.0,0.0,6.0,10.0,144.0
