title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,total_unartistic,percent_clausulae
philippicae 12,291,17,9,1,7,47.0,6.0,11.0,3.0,48.0,25.0,3.0,1.0,0.0,12.0,4.0,0.0,5.0,5.0,47.0,2.0,0.0,12.0,0.0,2.0,21.0,2.0,8.0,3.0,3.0,233.0,4.0,41.0,0.864963503649635
philippicae 13,438,21,11,0,10,70.0,11.0,26.0,8.0,70.0,19.0,7.0,1.0,1.0,8.0,0.0,2.0,3.0,2.0,96.0,6.0,1.0,18.0,1.0,1.0,34.0,7.0,12.0,4.0,0.0,351.0,9.0,66.0,0.8633093525179856
philippicae 14,214,5,2,2,1,32.0,6.0,17.0,1.0,34.0,14.0,1.0,1.0,1.0,2.0,0.0,0.0,5.0,3.0,60.0,2.0,0.0,5.0,0.0,0.0,18.0,1.0,1.0,1.0,0.0,184.0,4.0,25.0,0.8995215311004785
philippicae 2,980,40,18,0,22,160.0,27.0,66.0,22.0,121.0,51.0,17.0,6.0,0.0,14.0,7.0,6.0,13.0,8.0,199.0,20.0,7.0,39.0,1.0,5.0,89.0,16.0,18.0,6.0,1.0,789.0,21.0,151.0,0.8617021276595744
philippicae 3,264,15,12,0,3,46.0,8.0,20.0,0.0,46.0,14.0,5.0,2.0,1.0,7.0,0.0,0.0,0.0,1.0,59.0,6.0,0.0,8.0,0.0,1.0,11.0,1.0,7.0,3.0,0.0,224.0,3.0,25.0,0.9116465863453815
philippicae 4,103,7,3,0,4,22.0,2.0,6.0,2.0,20.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,90.0,0.0,6.0,0.9375
philippicae 5,397,27,11,3,13,72.0,11.0,18.0,5.0,48.0,18.0,6.0,2.0,3.0,5.0,1.0,3.0,4.0,5.0,67.0,5.0,4.0,24.0,1.0,0.0,34.0,6.0,14.0,7.0,1.0,302.0,6.0,68.0,0.8324324324324325
philippicae 6,162,11,3,2,6,33.0,2.0,11.0,1.0,18.0,6.0,4.0,0.0,0.0,4.0,1.0,1.0,1.0,2.0,36.0,1.0,1.0,6.0,0.0,0.0,11.0,2.0,9.0,0.0,1.0,128.0,0.0,23.0,0.847682119205298
philippicae 7,172,14,7,0,7,23.0,1.0,7.0,2.0,27.0,8.0,5.0,1.0,0.0,3.0,2.0,0.0,3.0,1.0,34.0,3.0,0.0,9.0,0.0,0.0,18.0,2.0,4.0,1.0,0.0,129.0,4.0,29.0,0.8417721518987342
philippicae 8,279,17,11,0,6,44.0,5.0,14.0,5.0,28.0,23.0,5.0,0.0,1.0,4.0,3.0,1.0,3.0,6.0,48.0,4.0,0.0,13.0,0.0,0.0,32.0,7.0,14.0,2.0,0.0,207.0,0.0,55.0,0.7900763358778626
philippicae 9,87,9,9,0,0,18.0,4.0,3.0,1.0,11.0,1.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,71.0,0.0,7.0,0.9102564102564102
philosophicorum librorum frr,53,2,1,1,0,5.0,2.0,0.0,1.0,6.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,12.0,0.0,0.0,6.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,40.0,1.0,11.0,0.803921568627451
post reditum ad populum,107,5,1,3,1,25.0,1.0,11.0,1.0,5.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,35.0,2.0,1.0,3.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,91.0,0.0,11.0,0.8921568627450981
post reditum in senatu,182,10,5,2,3,39.0,9.0,17.0,4.0,14.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,53.0,2.0,1.0,2.0,0.0,0.0,18.0,1.0,1.0,1.0,0.0,150.0,1.0,22.0,0.877906976744186
pro archia,144,12,5,1,6,29.0,3.0,12.0,2.0,10.0,7.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,45.0,3.0,0.0,4.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,123.0,1.0,9.0,0.9393939393939394
pro balbo,348,27,11,6,8,76.0,6.0,23.0,7.0,25.0,15.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,3.0,120.0,2.0,3.0,3.0,0.0,0.0,17.0,3.0,7.0,0.0,1.0,293.0,0.0,28.0,0.9127725856697819
pro caecina,644,38,9,7,22,99.0,16.0,27.0,13.0,46.0,49.0,8.0,2.0,1.0,8.0,12.0,3.0,10.0,7.0,138.0,8.0,2.0,26.0,1.0,3.0,65.0,19.0,25.0,4.0,0.0,479.0,14.0,127.0,0.8135313531353136
pro caelio,528,14,7,2,5,109.0,10.0,36.0,8.0,44.0,27.0,4.0,2.0,0.0,9.0,3.0,2.0,8.0,9.0,156.0,8.0,3.0,16.0,1.0,3.0,24.0,9.0,13.0,0.0,4.0,458.0,6.0,56.0,0.9027237354085603
pro cluentio,1246,47,21,7,19,257.0,25.0,65.0,23.0,69.0,76.0,19.0,9.0,5.0,14.0,5.0,14.0,23.0,18.0,290.0,10.0,8.0,62.0,3.0,3.0,118.0,21.0,20.0,12.0,4.0,998.0,26.0,201.0,0.854045037531276
pro flacco,841,68,16,10,28,121.0,20.0,49.0,13.0,65.0,52.0,6.0,6.0,1.0,12.0,7.0,5.0,12.0,11.0,229.0,7.0,7.0,31.0,1.0,0.0,58.0,12.0,22.0,3.0,3.0,655.0,20.0,118.0,0.8732212160413971
pro fonteio,273,57,14,11,8,52.0,7.0,19.0,3.0,12.0,13.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,8.0,48.0,1.0,1.0,9.0,1.0,1.0,18.0,2.0,5.0,3.0,0.0,183.0,5.0,33.0,0.8703703703703703
pro lege manilia,299,15,6,1,8,88.0,6.0,32.0,5.0,14.0,11.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,4.0,87.0,2.0,0.0,4.0,0.0,0.0,17.0,3.0,2.0,1.0,0.0,261.0,0.0,23.0,0.9190140845070423
pro ligario,257,7,3,0,4,36.0,6.0,20.0,1.0,33.0,15.0,4.0,3.0,0.0,2.0,2.0,1.0,4.0,3.0,54.0,2.0,2.0,12.0,0.0,0.0,21.0,5.0,6.0,5.0,1.0,200.0,12.0,50.0,0.848
pro marcello,150,5,4,0,1,21.0,4.0,8.0,1.0,32.0,6.0,8.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,15.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,137.0,1.0,8.0,0.9517241379310345
pro milone,639,42,13,2,27,98.0,5.0,33.0,9.0,71.0,45.0,5.0,4.0,0.0,12.0,9.0,2.0,14.0,5.0,152.0,8.0,1.0,26.0,2.0,2.0,51.0,16.0,12.0,4.0,2.0,503.0,9.0,94.0,0.8576214405360134
pro murena,658,50,21,10,19,92.0,16.0,46.0,15.0,50.0,58.0,6.0,2.0,2.0,14.0,7.0,7.0,16.0,6.0,145.0,6.0,4.0,30.0,0.0,1.0,48.0,6.0,14.0,3.0,2.0,523.0,12.0,85.0,0.8799342105263158
pro plancio,669,30,10,6,14,122.0,16.0,42.0,9.0,51.0,27.0,10.0,2.0,1.0,12.0,6.0,6.0,15.0,4.0,211.0,7.0,6.0,15.0,0.0,1.0,35.0,14.0,16.0,3.0,0.0,563.0,8.0,76.0,0.8935837245696401
pro quinctio,670,83,30,4,35,77.0,15.0,16.0,17.0,51.0,39.0,3.0,2.0,3.0,16.0,6.0,3.0,16.0,13.0,120.0,8.0,5.0,34.0,1.0,1.0,70.0,17.0,18.0,8.0,2.0,446.0,26.0,141.0,0.8040885860306644
pro rabirio perduellionis reo,177,36,10,17,4,32.0,3.0,8.0,1.0,4.0,17.0,0.0,1.0,0.0,2.0,3.0,1.0,4.0,2.0,33.0,3.0,0.0,6.0,0.0,0.0,14.0,3.0,3.0,0.0,0.0,120.0,1.0,21.0,0.8581560283687943
pro rabirio postumo,303,30,3,15,12,36.0,9.0,10.0,4.0,30.0,21.0,2.0,0.0,1.0,5.0,3.0,2.0,9.0,5.0,58.0,0.0,1.0,15.0,0.0,2.0,34.0,7.0,7.0,4.0,3.0,213.0,5.0,60.0,0.7985347985347986
pro rege deiotaro,255,8,3,1,4,50.0,4.0,14.0,1.0,41.0,20.0,9.0,3.0,0.0,1.0,0.0,1.0,5.0,3.0,49.0,2.0,0.0,9.0,0.0,0.0,20.0,2.0,8.0,2.0,1.0,212.0,2.0,35.0,0.8663967611336032
pro roscio amerino,901,92,44,9,27,85.0,27.0,37.0,21.0,59.0,73.0,14.0,6.0,0.0,18.0,8.0,10.0,18.0,14.0,182.0,11.0,8.0,36.0,3.0,5.0,73.0,23.0,30.0,12.0,7.0,635.0,29.0,174.0,0.8207663782447466
pro roscio comoedo,490,62,12,6,41,53.0,9.0,12.0,10.0,16.0,22.0,2.0,1.0,5.0,7.0,7.0,2.0,4.0,8.0,76.0,9.0,2.0,16.0,0.0,1.0,92.0,16.0,35.0,8.0,2.0,262.0,13.0,166.0,0.6425233644859814
pro scauro,220,46,7,9,8,39.0,3.0,13.0,3.0,14.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,51.0,3.0,2.0,1.0,0.0,1.0,20.0,1.0,6.0,0.0,0.0,141.0,6.0,33.0,0.8448275862068966
pro sestio,909,36,11,12,13,203.0,21.0,51.0,16.0,58.0,43.0,9.0,2.0,0.0,6.0,4.0,2.0,8.0,7.0,242.0,6.0,5.0,30.0,3.0,2.0,99.0,20.0,14.0,9.0,2.0,718.0,11.0,155.0,0.8350515463917526
pro sulla,524,24,8,2,14,109.0,6.0,30.0,11.0,42.0,38.0,2.0,1.0,3.0,11.0,3.0,3.0,6.0,6.0,131.0,6.0,3.0,14.0,0.0,2.0,40.0,6.0,11.0,6.0,1.0,427.0,9.0,73.0,0.872
pro tullio,301,90,21,11,8,15.0,8.0,6.0,6.0,12.0,16.0,2.0,0.0,2.0,7.0,2.0,2.0,7.0,5.0,44.0,3.0,3.0,13.0,1.0,1.0,24.0,2.0,13.0,2.0,1.0,155.0,14.0,56.0,0.8009478672985783
rhetorica ad herennium,2577,261,4,144,103,294.0,55.0,73.0,59.0,68.0,84.0,12.0,17.0,13.0,33.0,14.0,16.0,21.0,32.0,708.0,40.0,31.0,105.0,9.0,13.0,329.0,83.0,122.0,41.0,6.0,1697.0,38.0,619.0,0.7491364421416234
timaeus,192,1,0,2,0,29.0,4.0,12.0,1.0,38.0,13.0,4.0,2.0,0.0,5.0,4.0,2.0,3.0,2.0,43.0,4.0,0.0,11.0,0.0,0.0,5.0,5.0,1.0,2.0,0.0,177.0,1.0,14.0,0.9319371727748691
topica,573,15,1,1,11,52.0,12.0,20.0,12.0,80.0,36.0,6.0,5.0,3.0,13.0,6.0,6.0,14.0,14.0,103.0,8.0,4.0,32.0,4.0,2.0,59.0,14.0,22.0,7.0,5.0,432.0,19.0,126.0,0.8082437275985663
tusculanae disputationes,3386,184,7,31,89,421.0,70.0,173.0,55.0,472.0,213.0,71.0,29.0,14.0,80.0,22.0,18.0,58.0,50.0,635.0,35.0,22.0,216.0,7.0,11.0,228.0,93.0,105.0,25.0,17.0,2672.0,62.0,530.0,0.853841349156777
