title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,total_unartistic,percent_clausulae
de lege agraria 2,606,42,12,13,17,136.0,8.0,27.0,10.0,38.0,35.0,4.0,3.0,2.0,10.0,6.0,3.0,8.0,6.0,131.0,5.0,6.0,35.0,1.0,0.0,47.0,14.0,16.0,3.0,0.0,474.0,10.0,90.0,0.8581560283687943
de lege agraria 3,96,13,4,2,7,13.0,2.0,3.0,3.0,12.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,16.0,0.0,1.0,3.0,1.0,0.0,9.0,1.0,1.0,0.0,0.0,66.0,6.0,17.0,0.8674698795180723
de legibus,1235,221,3,161,17,114.0,10.0,58.0,11.0,176.0,99.0,20.0,10.0,5.0,32.0,9.0,9.0,22.0,17.0,201.0,7.0,9.0,75.0,3.0,2.0,60.0,18.0,21.0,9.0,2.0,889.0,15.0,125.0,0.8915187376725838
de natura deorum,2148,35,1,17,15,329.0,50.0,143.0,28.0,301.0,127.0,40.0,21.0,3.0,32.0,20.0,16.0,41.0,22.0,456.0,29.0,13.0,135.0,3.0,4.0,110.0,86.0,56.0,21.0,9.0,1813.0,18.0,300.0,0.8665404637955514
de officiis,1895,83,20,12,25,270.0,61.0,136.0,29.0,326.0,118.0,41.0,15.0,3.0,32.0,13.0,5.0,37.0,12.0,390.0,22.0,8.0,104.0,6.0,5.0,69.0,36.0,37.0,13.0,5.0,1633.0,19.0,179.0,0.9116997792494481
de optimo genere oratorum,107,3,0,0,3,7.0,2.0,3.0,0.0,20.0,8.0,5.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,24.0,0.0,3.0,9.0,0.0,0.0,8.0,0.0,2.0,4.0,1.0,88.0,1.0,16.0,0.8557692307692307
de oratore,3370,166,32,63,47,580.0,97.0,241.0,60.0,281.0,245.0,37.0,22.0,10.0,65.0,25.0,21.0,53.0,40.0,715.0,46.0,24.0,189.0,4.0,7.0,236.0,62.0,76.0,25.0,12.0,2762.0,31.0,442.0,0.8717228464419475
de partitione oratoria,600,15,0,6,9,105.0,17.0,33.0,10.0,53.0,40.0,9.0,5.0,0.0,9.0,7.0,3.0,13.0,7.0,140.0,5.0,1.0,35.0,0.0,1.0,43.0,14.0,11.0,7.0,5.0,493.0,12.0,92.0,0.8632478632478633
de provinciis consularibus,265,11,6,0,5,49.0,4.0,30.0,4.0,23.0,19.0,2.0,1.0,0.0,4.0,0.0,2.0,4.0,3.0,72.0,3.0,5.0,3.0,1.0,0.0,14.0,4.0,3.0,2.0,0.0,229.0,2.0,25.0,0.9094488188976378
de republica,1593,495,47,37,43,114.0,18.0,47.0,12.0,196.0,116.0,20.0,13.0,4.0,37.0,15.0,4.0,31.0,14.0,170.0,8.0,10.0,86.0,2.0,1.0,68.0,17.0,34.0,8.0,3.0,918.0,50.0,180.0,0.8816029143897997
epistula ad ocatianum,66,3,0,1,0,13.0,1.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,55.0,2.0,8.0,0.9047619047619048
epistulae ad atticum,11955,1512,161,499,698,1008.0,212.0,325.0,233.0,905.0,777.0,157.0,63.0,45.0,199.0,110.0,98.0,200.0,187.0,1846.0,118.0,135.0,636.0,39.0,94.0,1407.0,320.0,670.0,222.0,108.0,7387.0,329.0,3056.0,0.7388681413386958
epistulae ad atticum book 1,686,70,20,10,36,71.0,12.0,26.0,16.0,49.0,49.0,9.0,1.0,1.0,12.0,6.0,1.0,12.0,13.0,141.0,8.0,5.0,24.0,0.0,4.0,88.0,17.0,25.0,10.0,6.0,460.0,10.0,156.0,0.762987012987013
epistulae ad atticum book 10,710,81,4,38,31,62.0,7.0,21.0,8.0,54.0,40.0,13.0,2.0,3.0,5.0,8.0,5.0,15.0,13.0,126.0,9.0,7.0,37.0,3.0,9.0,84.0,18.0,47.0,15.0,4.0,447.0,14.0,182.0,0.7329093799682035
epistulae ad atticum book 11,662,94,3,30,60,50.0,16.0,12.0,16.0,57.0,42.0,7.0,1.0,1.0,11.0,8.0,4.0,15.0,10.0,100.0,5.0,9.0,32.0,2.0,3.0,85.0,15.0,38.0,17.0,3.0,401.0,9.0,167.0,0.721830985915493
epistulae ad atticum book 12,918,67,10,38,17,79.0,18.0,31.0,23.0,72.0,64.0,15.0,5.0,3.0,23.0,9.0,8.0,18.0,15.0,163.0,12.0,11.0,61.0,3.0,5.0,81.0,34.0,48.0,17.0,9.0,638.0,24.0,213.0,0.7779083431257344
epistulae ad atticum book 13,1052,108,9,55,37,90.0,23.0,26.0,18.0,70.0,69.0,10.0,6.0,4.0,19.0,6.0,9.0,17.0,15.0,163.0,16.0,16.0,58.0,4.0,11.0,126.0,29.0,70.0,18.0,12.0,650.0,39.0,294.0,0.7298728813559322
