-------u--ux,----u-u--u-ux,----u-uu-uu-x,----uuu-x,---u---u----x,---uu--uu-uux,---uu-u-u-x,---uu-u-uux,---uu-uuu--ux,--u---u--u--x,--u--u--uuuux,--u-uu--u-uux,--u-uu-u---x,--uu-----u--x,--uu----uu--x,--uu---uu--ux,--uu-uu---u-x,--uuuuu--ux,-u-------uu-x,-u----uuuu-ux,-u---u-----ux,-u---u---uuux,-u---u--u--ux,-u--u----uu-x,-u--u-u-uu-ux,-u--uu--u-u-x,-u-u------u-x,-u-u---u--u-x,-u-u---u-uuux,-u-u--uuu-u-x,-u-u-u--u---x,-u-u-uuuu-u-x,-u-uu-u----ux,-u-x,-uu----u--u-x,-uu---u---u-x,-uu-x,-uuu-u-----ux,abbrev_excluded,bracket_excluded,other_excluded,short_excluded,total,total_clausulae,total_excluded,u-----u----ux,u----u----ux,u---u-------x,u---uu-u---ux,u--u-----u--x,u--u----u-uux,u--u-u------x,u--u-u-----ux,u--u-u-uu---x,u--u-uu--u--x,u--uu-u--u--x,u-u--u--uuu-x,u-u-u-----u-x,u-u-u-uuuu-ux,uu---u-u-u--x,uu--u-u--u--x,uu--uuu--uu-x,uu-u-----uuux,uu-u-u----uux,uu-uu---u--ux
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,4,1,1,10,49,49,15,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,14,14,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,2,0,7,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,7,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,7,7,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
