---------u--x,---------uuux,--------u-u-x,--------uux,-------u--u-x,-------uu---x,-------ux,------u----ux,------u----x,------u-u--ux,------u-uux,------u-ux,------u-x,------uu--u-x,-----u---u--x,-----u---u-ux,-----u---uu-x,-----u--u--ux,-----u--ux,-----u--x,-----u-uuu-ux,-----u-uux,-----uuux,-----uux,-----x,----u---u--ux,----u---u--x,----u---u-x,----u--u----x,----u-u---u-x,----u-u--x,----u-uuu---x,----u-uuu--ux,----u-ux,----u-x,----uu---u--x,----x,---u-----u--x,---u-----uuux,---u----u-uux,---u----ux,---u---u--x,---u---u-u--x,---u---x,---u--u---uux,---u--u-u-uux,---u-u--uuu-x,---u-u-uux,---u-uuu--ux,---u-uux,---u-x,---uu------ux,---uuu-u----x,---uux,---ux,---x,--u------u-x,--u----u----x,--u----u-u--x,--u----u-ux,--u----uu---x,--u----uu-uux,--u---u----ux,--u---u-u-u-x,--u---u-x,--u---uu---ux,--u--u--ux,--u--uu-uu-ux,--u--uuu--u-x,--u--ux,--u--x,--u-u-------x,--u-u-u---ux,--u-u-u--x,--u-u-u-u-uux,--u-uu-----ux,--u-uuu--u--x,--u-uuu-u--ux,--u-uuuu-x,--u-ux,--u-x,--uu-----u-ux,--uu----u--ux,--uu--u----ux,--uu--u--ux,--uu-u--u-u-x,--uu-uu---u-x,--uuu---uuuux,--uuu--u--u-x,--uuu-u--uuux,--uuuu----u-x,--uuuu-u---ux,--uuuu-u--ux,--uuuuuu--u-x,--uuux,--ux,-u--------u-x,-u-------u--x,-u-----u----x,-u-----uuu-ux,-u-----uuuu-x,-u----u---u-x,-u----u--u-ux,-u----u-u-x,-u----uu--u-x,-u----uuu--ux,-u----uuux,-u---u---u--x,-u---u--u--ux,-u---uu---uux,-u---uu--u--x,-u---uu-uu--x,-u---x,-u--u---u---x,-u--u--u-u--x,-u--u-uu--uux,-u--u-x,-u--uu----u-x,-u--uu-u--uux,-u--uuu--u--x,-u--uuux,-u--uux,-u--x,-u-u--u---u-x,-u-u--u--x,-u-u--ux,-u-u-u--u--ux,-u-u-uu-uuu-x,-u-u-uuu-u-ux,-u-uu------ux,-u-uu---uu-ux,-u-uu--u---ux,-u-uu-u-uux,-u-uuu-----ux,-u-uuuuu-u--x,-u-ux,-u-x,-uu----u--u-x,-uu----u-u-ux,-uu----u-uuux,-uu--u----u-x,-uu--u-u---ux,-uu--u-uu--ux,-uu--uu-u-uux,-uu-u---u-x,-uu-u-u-u-u-x,-uu-uuux,-uuu---u-u-ux,-uuu-uu-u--ux,-uuuu--u--u-x,-uuuu-u-uux,-uuuu-ux,-uux,abbrev_excluded,bracket_excluded,other_excluded,short_excluded,total,total_clausulae,total_excluded,u---------u-x,u---------x,u-------u-uux,u-----u-u--ux,u-----u-u-uux,u----u-u-u--x,u----u-uuuu-x,u----uu-u--ux,u---u------ux,u---u----uu-x,u---u----ux,u---u-uu-u--x,u---uuu--u-ux,u---uuu-u--ux,u---uuuu-u--x,u---uuuu-uu-x,u--u-------ux,u--u------u-x,u--u----u-uux,u--u---u---ux,u--u--uux,u--u--x,u--u-uux,u--uu-u----ux,u--uuu--u--ux,u--uuuuuu--ux,u-u-------x,u-u------uu-x,u-u-----uuu-x,u-u--u---uu-x,u-u--uuuu--ux,u-u--ux,u-u-u-------x,u-u-u-u-uuu-x,u-uu-u--u--ux,u-uuu----u-ux,u-uuu-u----ux,u-uuu-u--uuux,u-uuuuu--u-ux,u-uuuuu-uu-x,u-ux,uu----------x,uu-------ux,uu----u-----x,uu----u-uux,uu----uu--u-x,uu---uu----ux,uu---uux,uu---x,uu--u---u--ux,uu--uu--u--x,uu--uu-uu--ux,uu--uuuu-u--x,uu-u--u----ux,uu-u--u--u-ux,uu-u--u--uuux,uuu------u--x,uuu----u----x,uuu--uuux,uuu-u--u--x,uuu-u-u-uu-ux,uuu-u-uuu--ux,uuu-uu---uuux,uuu-uu---uux,uuuu--x,uuuu-uux,uuuuu----x,uuuuu--uu---x,uuuuuu-u-u--x,uuuuuux
0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,1,3,2,58,58,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1,1,1,155,155,2,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,7,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,4,1,38,38,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
