title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,percent_clausulae
Bellum Iugurthinum NO SPEECHES,1077,19,8,12,0,61.0,15.0,13.0,22.0,53.0,58.0,14.0,9.0,6.0,28.0,23.0,12.0,15.0,17.0,80.0,7.0,9.0,34.0,9.0,9.0,269.0,101.0,132.0,39.0,4.0,1039.0,19.0,1.0
Bellum Iugurthinum SPEECHES,242,1,0,1,1,10.0,6.0,1.0,8.0,12.0,17.0,2.0,1.0,0.0,3.0,5.0,4.0,4.0,2.0,12.0,3.0,3.0,9.0,1.0,1.0,57.0,25.0,32.0,11.0,2.0,231.0,10.0,1.0
Catilinae Coniuratio NO SPEECHES,490,15,12,3,1,22.0,7.0,7.0,11.0,29.0,19.0,6.0,3.0,2.0,7.0,9.0,2.0,4.0,3.0,60.0,6.0,8.0,13.0,3.0,7.0,100.0,58.0,56.0,19.0,9.0,470.0,5.0,1.0
Catilinae Coniuratio SPEECHES,209,1,0,0,2,8.0,1.0,3.0,6.0,8.0,11.0,0.0,2.0,1.0,8.0,5.0,0.0,3.0,4.0,18.0,1.0,5.0,10.0,3.0,5.0,52.0,19.0,17.0,13.0,0.0,203.0,5.0,1.0
Historiae FRAGMENTS no speeches no letters,632,53,3,26,25,34.0,6.0,2.0,16.0,35.0,29.0,4.0,1.0,2.0,1.0,7.0,4.0,4.0,9.0,49.0,3.0,5.0,20.0,0.0,4.0,110.0,34.0,54.0,9.0,2.0,444.0,135.0,1.0
Historiae SPEECHES,186,6,1,5,1,11.0,2.0,1.0,4.0,11.0,16.0,3.0,0.0,0.0,4.0,3.0,0.0,3.0,2.0,15.0,2.0,0.0,3.0,0.0,0.0,46.0,13.0,31.0,5.0,1.0,176.0,4.0,1.0
Historiae SPEECHES AND LETTERS,260,8,1,7,1,17.0,3.0,1.0,5.0,15.0,16.0,4.0,0.0,0.0,4.0,6.0,0.0,3.0,3.0,21.0,2.0,0.0,4.0,0.0,0.0,67.0,22.0,44.0,7.0,2.0,246.0,6.0,1.0
ad caesarem de re publ,239,4,1,4,0,14.0,2.0,4.0,13.0,8.0,9.0,3.0,2.0,5.0,3.0,4.0,0.0,10.0,3.0,16.0,3.0,3.0,8.0,1.0,4.0,50.0,29.0,31.0,4.0,2.0,231.0,4.0,1.0
in m tullium ciceronem,48,1,1,1,0,4.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,6.0,5.0,6.0,0.0,0.0,46.0,1.0,1.0
