----------uux,----------x,---------uu-x,--------u---x,--------uu-ux,-------u--uux,-------u-u-ux,-------uu---x,-------uu-uux,-------uuu--x,------u-----x,------u----ux,------u--uu-x,------u-u--ux,------u-uu--x,------x,-----u----uux,-----u----x,-----u---u-ux,-----u--uu--x,-----u--uu-ux,-----u-u--u-x,-----u-u--uux,-----u-uu---x,-----u-uuu-ux,-----uu--u--x,-----ux,----u-------x,----u------ux,----u----uu-x,----u---u---x,----u---u-ux,----u--u----x,----u--u---ux,----u--u-u-ux,----u--uu---x,----u--uu-uux,----u--uuu--x,----u--uuuu-x,----u--uuuuux,----u-u-----x,----u-u--uu-x,----u-u-u---x,----u-u-uu--x,----u-uu--x,----u-uuuu-ux,----uu---u--x,----uu---u-ux,----uu---x,----uu--u---x,----uu--u--ux,----uu--uu--x,----uu--uu-ux,----uu--uuuux,----uu-u----x,----uu-u--uux,----uu-u-u--x,----uu-u-uu-x,----uu-uu---x,----uuu----ux,----uuu--uuux,----uuu-u---x,----x,---u--------x,---u-------ux,---u-----u--x,---u-----uu-x,---u----u---x,---u----u-u-x,---u----u-uux,---u----uuu-x,---u----uux,---u---u----x,---u---u---ux,---u---u-u-ux,---u---u-uu-x,---u--u----ux,---u--u--uu-x,---u--u-u---x,---u--u-uu--x,---u--uuu--ux,---u--uuuu-ux,---u-u------x,---u-u--u---x,---u-u--u--ux,---u-u--uu-ux,---u-u-u----x,---u-u-uuu--x,---u-uu-u-uux,---u-uuu-uu-x,---uu------x,---uu----u--x,---uu----uu-x,---uu---u-uux,---uu-u-----x,---uu-u--uu-x,---uu-u-u---x,---uu-uu---ux,---uu-uu-u--x,---uu-uuuu-ux,---uuu-----ux,---uuu--u---x,---uuu--u-uux,---uuu--uu-ux,---uuu-uux,---uuuu---u-x,---uuuu--uux,---uuuu-u-uux,---uuuu-uu--x,---uuuu-uu-ux,---uuuu-uuu-x,---uuuux,---ux,--u---------x,--u--------ux,--u------uuux,--u-----uu-ux,--u----u----x,--u----u-u--x,--u----u-uu-x,--u----uu---x,--u----uu-uux,--u----uuu--x,--u---u---uux,--u---u--u-ux,--u---u--uu-x,--u---u-u---x,--u---u-u--ux,--u---uuu---x,--u--u--u-u-x,--u--u--u-uux,--u--u--uu--x,--u--u-u----x,--u--u-uu---x,--u--u-uu--ux,--u--uu-uu-ux,--u--ux,--u-u------ux,--u-u-----x,--u-u----uu-x,--u-u---u---x,--u-u--u-uu-x,--u-u--uu-uux,--u-u-u-uu--x,--u-u-uu---x,--u-u-uu-uu-x,--u-u-uuu---x,--u-uu--u---x,--u-uu--u--ux,--u-uu-u-uu-x,--u-uuu-----x,--u-uuu-u--ux,--u-x,--uu----u---x,--uu----u--ux,--uu---u----x,--uu---u--uux,--uu---uu---x,--uu---uuu-ux,--uu--u-----x,--uu--u---uux,--uu--u-uu--x,--uu--u-x,--uu--uu--uux,--uu--uu--x,--uu--uuuuu-x,--uu-u----uux,--uu-u---u--x,--uu-u---u-ux,--uu-uu---ux,--uu-uu-x,--uu-x,--uuu-------x,--uuu----u--x,--uuu---u--ux,--uuu-u-u---x,--uuu-u-u--ux,--uuuu----uux,--uuuu--u---x,--uuuuu----ux,--uuuuuu----x,--uux,--x,-u-------uu-x,-u------uu-ux,-u------uuuux,-u-----u--uux,-u----u-----x,-u----u---u-x,-u----u--uu-x,-u----uuuu-ux,-u---u---u--x,-u---u---uu-x,-u---u-u----x,-u---u-u--uux,-u---u-uu-uux,-u---uu-----x,-u---uu----ux,-u---uu--u--x,-u---uu--x,-u---uuu---ux,-u---uuu-uu-x,-u---x,-u--u-----uux,-u--u----u-ux,-u--u----x,-u--u---uu--x,-u--u--u---ux,-u--u--u--uux,-u--u--u-u--x,-u--u--uu---x,-u--u--uu-uux,-u--u-u-----x,-u--u-u---uux,-u--u-uu---ux,-u--u-uuu-u-x,-u--u-uuu-uux,-u--uu----u-x,-u--uu--uuu-x,-u--uu-uuu--x,-u--uuuu--u-x,-u--x,-u-u----uu--x,-u-u----uuu-x,-u-u---u--u-x,-u-u---uuu-ux,-u-u--u-u--ux,-u-u--u-u--x,-u-u--uu-uuux,-u-u--uuu---x,-u-u--ux,-u-u-u----uux,-u-u-u---u-ux,-u-u-u--uu--x,-u-u-uu----ux,-u-u-uu-u---x,-u-uu------ux,-u-uu---u---x,-u-uu---u-uux,-u-uu---uuux,-u-uu--u----x,-u-uu--u---ux,-u-uu--u--u-x,-u-uu--u--uux,-u-uu--u-uu-x,-u-uu--ux,-u-uu--x,-u-uu-u--uuux,-u-uu-u-u---x,-u-uu-uu----x,-u-uu-uu---ux,-u-uu-x,-u-uuu----uux,-u-uuu---u-ux,-u-uuu---uu-x,-u-uuu--u---x,-u-uuu-u--uux,-u-uuu-uu-uux,-u-uuuu-uu--x,-u-uuuuu----x,-uu-----u---x,-uu-----uu-ux,-uu----u----x,-uu----u-u--x,-uu----u-uu-x,-uu---u---uux,-uu---u--uuux,-uu---u--x,-uu---u-u---x,-uu---u-u-u-x,-uu---uu---ux,-uu--u-----ux,-uu--u---u--x,-uu--u--u---x,-uu--u--uu-ux,-uu--u-u----x,-uu--u-u--uux,-uu--uu-----x,-uu--uu----ux,-uu--uu---uux,-uu--uu-u-u-x,-uu--uuu-uuux,-uu--uuuuu--x,-uu--uuuuuuux,-uu--uuux,-uu--uux,-uu-u------ux,-uu-u---u---x,-uu-u--u----x,-uu-u--u-u-ux,-uu-u--u-uu-x,-uu-u--uu---x,-uu-u--uu--ux,-uu-u-u--u--x,-uu-u-u-uu-ux,-uu-u-u-x,-uu-u-x,-uu-uu------x,-uu-uu---u-ux,-uu-uuu-uu--x,-uu-uuuu----x,-uu-uuuu-x,-uu-uux,-uuu------uux,-uuu----uu--x,-uuu---uuu--x,-uuu---uux,-uuu--u----ux,-uuu--u--u-x,-uuu--uu---x,-uuu-u-uu-uux,-uuu-uu---u-x,-uuu-uu--u--x,-uuu-uu-u-u-x,-uuu-uu-u-uux,-uuu-uuu--x,-uuuu-------x,-uuuu----uuux,-uuuu---u--ux,-uuuu---u-uux,-uuuu--u----x,-uuuu--uuu-ux,-uuuu-u---uux,-uuuu-u--uu-x,-uuuuu----uux,-uuuuu---uu-x,-uuuuuuu--uux,abbrev_excluded,bracket_excluded,other_excluded,short_excluded,total,total_clausulae,total_excluded,u-----------x,u----------ux,u-------u--ux,u------u---x,u------u-u-ux,u------u-uu-x,u------uu--ux,u------uuux,u-----u-----x,u-----u----ux,u-----u---uux,u-----u-uu-ux,u-----uu----x,u-----uuuu--x,u----u----uux,u----u---u--x,u----u--u---x,u----u--u--ux,u----u-u-u--x,u----u-uu---x,u----u-uu--ux,u----u-uu-u-x,u----uu--u--x,u----uu-uu-ux,u----uuu-uu-x,u----uuuu---x,u---u-------x,u---u-----uux,u---u--u----x,u---u--u---ux,u---u--u--u-x,u---u--u-uu-x,u---u--uu--ux,u---u-u--uu-x,u---u-u-u---x,u---u-u-u--ux,u---u-uuu--ux,u---uu-u---ux,u---uuu--uu-x,u---uuu-u--ux,u---uuuu--u-x,u--u----uu--x,u--u---u-uu-x,u--u---u-uux,u--u---uu---x,u--u---uu--ux,u--u--u-----x,u--u--u----ux,u--u--u---uux,u--u--uu-ux,u--u-u---uuux,u--u-u--u---x,u--u-u--x,u--u-u-u--uux,u--u-u-u-uuux,u--u-uu--u-ux,u--u-uux,u--uu----uu-x,u--uu--u-uuux,u--uu--uu-u-x,u--uu-u--uu-x,u--uu-u-u-uux,u--uu-uu---ux,u--uuuu-u---x,u--uuuuu-uu-x,u--uuuuuu---x,u--uux,u--x,u-u------u-ux,u-u-----u--ux,u-u-----uu-ux,u-u----u--u-x,u-u----uu-u-x,u-u---u---uux,u-u---u--uu-x,u-u---u--uuux,u-u---u-u---x,u-u---u-u--ux,u-u---u-u-uux,u-u---u-uu-ux,u-u---uu----x,u-u---uu-uuux,u-u---uuu-uux,u-u--u--u---x,u-u--u--uu--x,u-u--u-u--u-x,u-u--u-u-u-ux,u-u--uuu--uux,u-u--uuuu-uux,u-u-u----u-ux,u-u-u---u--ux,u-u-u---uu-ux,u-u-u--u----x,u-u-u-uu-u-ux,u-u-uu---uuux,u-u-uu---ux,u-u-uu--u--ux,u-u-uu--u-uux,u-u-uu-u----x,u-u-uu-u-x,u-u-uuu-u---x,u-u-uuu-u--ux,u-u-uuu-u-uux,u-uu------u-x,u-uu-----uu-x,u-uu----ux,u-uu---uu--ux,u-uu---x,u-uu--u----ux,u-uu--u--uu-x,u-uu--uu-uu-x,u-uu-u-----ux,u-uu-u----uux,u-uu-u--u---x,u-uu-u--uuuux,u-uu-u-u----x,u-uu-u-u-uu-x,u-uu-u-uuu--x,u-uu-u-uuuu-x,u-uu-uu--u-ux,u-uu-uu-u---x,u-uuu-----uux,u-uuu-----x,u-uuu---uuu-x,u-uuu-uu----x,u-uuuu----uux,u-uuuuu-uu--x,uu--------u-x,uu--------uux,uu------uu-ux,uu-----u-uuux,uu----u---u-x,uu----u---x,uu----u--uu-x,uu----u-u---x,uu----u-uu--x,uu----u-uu-ux,uu----uu----x,uu----uu--uux,uu----x,uu---u---uu-x,uu---u--uuu-x,uu---u-uu---x,uu---uu----ux,uu--u-----u-x,uu--u---u-x,uu--u---x,uu--u--u--x,uu--u--uu-x,uu--u-uu---ux,uu--u-uu--uux,uu--uu------x,uu--uu----uux,uu--uu-u--u-x,uu--uu-u--ux,uu--uu-uuuu-x,uu--ux,uu-u-------ux,uu-u-----u-ux,uu-u----uu--x,uu-u---u----x,uu-u---u---ux,uu-u---u-uu-x,uu-u--u--uu-x,uu-u--u-uuuux,uu-u--uu----x,uu-u--uu---ux,uu-u--uu--uux,uu-u--ux,uu-u-u------x,uu-u-u--u-u-x,uu-u-u--u-uux,uu-u-x,uu-uu-----uux,uu-uu--u----x,uu-uu--u--u-x,uu-uu--u--uux,uu-uu-u-----x,uu-uu-u---uux,uu-x,uuu------uu-x,uuu-----u---x,uuu-----u--ux,uuu-----u-uux,uuu----u---x,uuu---u----ux,uuu---uuu---x,uuu---uux,uuu--u--u---x,uuu--u--uuuux,uuu--u-uu--ux,uuu--uuu---ux,uuu--uuu-uu-x,uuu-u---u---x,uuu-u--u-uu-x,uuu-u--uu-uux,uuu-u-u-----x,uuu-u-u-u---x,uuu-u-uu--uux,uuu-uu----u-x,uuu-uu---uuux,uuu-uu--u---x,uuu-uu-u-uu-x,uuu-uu-uu-u-x,uuu-uuu-uuu-x,uuu-uuuu--u-x,uuu-uuuuuu--x,uuu-ux,uuuu-----uu-x,uuuu----u--ux,uuuu----uuuux,uuuu----x,uuuu---u----x,uuuu---uu-uux,uuuu--u---u-x,uuuu--u-u---x,uuuu--u-uu-ux,uuuu-u--uu-ux,uuuu-uu-ux,uuuu-uuu-u-ux,uuuu-uuuuu-ux,uuuuu---uu--x,uuuuu-u---uux,uuuuu-u--uu-x,uuuuu-uu----x,uuuuu-uu---ux,uuuuuu-u-uu-x,uuuuuu-u-x,uuuuuuu---u-x,uuuux
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2,0,17,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,1,2,1,230,230,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,2,0,57,57,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
