title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,percent_artistic
facete dicta,38,2,0,0,2,5.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,5.0,0.0,1.0,33.0,0.9166666666666666
in catilinam,676,22,10,2,10,151.0,11.0,43.0,12.0,61.0,42.0,11.0,4.0,2.0,15.0,8.0,4.0,13.0,8.0,151.0,5.0,4.0,31.0,1.0,1.0,34.0,11.0,15.0,3.0,2.0,643.0,0.9831804281345565
de optimo genere oratorum,107,3,0,0,3,6.0,2.0,3.0,0.0,19.0,8.0,4.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,24.0,0.0,2.0,10.0,0.0,0.0,8.0,1.0,2.0,5.0,1.0,103.0,0.9903846153846154
philosophicorum librorum frr,53,1,1,0,0,5.0,2.0,1.0,1.0,6.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,12.0,0.0,0.0,6.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,51.0,0.9807692307692307
epistulae ad familiares,8016,776,237,89,450,874.0,142.0,284.0,150.0,717.0,479.0,97.0,54.0,38.0,121.0,84.0,44.0,146.0,146.0,1480.0,66.0,62.0,383.0,20.0,39.0,846.0,178.0,370.0,135.0,42.0,6997.0,0.9664364640883978
pro caelio,527,14,6,2,6,110.0,9.0,33.0,8.0,45.0,26.0,4.0,3.0,0.0,8.0,3.0,2.0,8.0,9.0,153.0,6.0,3.0,15.0,1.0,3.0,30.0,9.0,15.0,0.0,4.0,507.0,0.9883040935672515
pro plancio,669,30,10,5,15,121.0,15.0,42.0,10.0,46.0,30.0,10.0,2.0,1.0,12.0,6.0,6.0,13.0,5.0,210.0,7.0,6.0,14.0,0.0,1.0,41.0,15.0,16.0,3.0,0.0,632.0,0.9890453834115805
pro scauro,220,16,7,1,8,40.0,3.0,14.0,3.0,14.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,52.0,1.0,2.0,1.0,1.0,1.0,20.0,1.0,6.0,1.0,1.0,174.0,0.8529411764705882
de lege agraria,850,62,18,14,30,167.0,12.0,35.0,17.0,58.0,60.0,7.0,3.0,2.0,12.0,8.0,6.0,9.0,9.0,190.0,4.0,4.0,52.0,3.0,0.0,70.0,16.0,18.0,5.0,0.0,767.0,0.9733502538071066
tusculanae disputationes,3381,121,7,23,91,411.0,69.0,155.0,49.0,462.0,221.0,64.0,29.0,16.0,76.0,25.0,19.0,54.0,56.0,618.0,32.0,18.0,216.0,9.0,8.0,274.0,96.0,117.0,35.0,13.0,3142.0,0.9638036809815951
rhetorica ad herennium,2572,123,4,15,104,300.0,57.0,74.0,55.0,69.0,97.0,14.0,15.0,15.0,31.0,18.0,19.0,24.0,40.0,716.0,42.0,29.0,111.0,7.0,15.0,367.0,91.0,132.0,55.0,8.0,2401.0,0.9804001633319722
pro sulla,524,25,8,2,15,106.0,6.0,28.0,11.0,42.0,38.0,2.0,1.0,3.0,11.0,3.0,2.0,5.0,7.0,126.0,6.0,3.0,15.0,0.0,2.0,47.0,7.0,11.0,8.0,1.0,491.0,0.9839679358717435
hortensius,58,1,0,1,0,7.0,0.0,3.0,1.0,9.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,12.0,0.0,0.0,4.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,55.0,0.9649122807017544
de oratore,3368,128,32,48,48,579.0,97.0,235.0,57.0,279.0,251.0,38.0,20.0,9.0,62.0,27.0,21.0,51.0,40.0,708.0,44.0,24.0,191.0,5.0,8.0,257.0,69.0,78.0,27.0,11.0,3188.0,0.9839506172839506
academica,228,5,0,3,2,30.0,5.0,11.0,5.0,32.0,8.0,3.0,2.0,0.0,5.0,1.0,1.0,3.0,2.0,42.0,3.0,3.0,15.0,1.0,0.0,28.0,7.0,9.0,2.0,1.0,219.0,0.9820627802690582
de divinatione,1987,84,5,11,68,278.0,36.0,106.0,17.0,248.0,130.0,38.0,18.0,7.0,39.0,14.0,13.0,36.0,23.0,352.0,14.0,11.0,102.0,5.0,7.0,151.0,93.0,90.0,21.0,4.0,1853.0,0.9737256962690489
de provinciis consularibus,265,11,6,0,5,48.0,3.0,31.0,4.0,21.0,19.0,3.0,2.0,0.0,4.0,1.0,2.0,3.0,3.0,71.0,3.0,5.0,4.0,0.0,0.0,17.0,4.0,3.0,1.0,0.0,252.0,0.9921259842519685
timaeus,191,2,0,2,0,28.0,4.0,12.0,1.0,37.0,11.0,3.0,2.0,0.0,4.0,4.0,2.0,3.0,2.0,43.0,4.0,0.0,11.0,0.0,0.0,9.0,5.0,2.0,2.0,0.0,189.0,1.0
