---------uu-x,---------x,-------uu-uux,------u-----x,-----u----u-x,-----u-uu---x,-----uu---u-x,-----uu--u-ux,-----uu-u--ux,-----uu-u-u-x,-----uu-uu-ux,-----uu-ux,----u-u--uu-x,----u-u-x,----uu-u----x,----uuu-u-u-x,----uuu-uuuux,---u--uu--u-x,---u--x,---u-u--x,---u-uu-----x,---u-uu-u--ux,---uu-----uux,---uu---u-uux,---uu--u--x,---uu--uu-uux,---uu-uu-uu-x,---uuu-uu--ux,--u-----u-u-x,--u----ux,--u--u--u--ux,--u--uuu-u--x,--u-u--x,--u-u-uu--uux,--uu---uu---x,--uu-uu-uuu-x,--uu-uuu---ux,--uuu----u-ux,--uuuu-u--uux,--uuux,-u---uu---u-x,-u---uu-uuu-x,-u--u-u--x,-u--u-ux,-u-u-uu--uux,-u-uuu-u--u-x,-uu----uu-uux,-uu---uu-uu-x,-uu---uux,-uu--uux,-uu-u-----uux,-uu-uu---uu-x,-uu-uuu--uuux,-uuu--uu---ux,-uuu-u--u---x,-uuuuu-u-u--x,abbrev_excluded,bracket_excluded,other_excluded,short_excluded,total,total_clausulae,total_excluded,u------uu-uux,u------ux,u-----u-uu--x,u-----uu-u-ux,u----u----u-x,u----uu-u-u-x,u---uu------x,u---uu---uu-x,u--u--u----x,u--u-uuu-ux,u--u-ux,u--uu---u---x,u-u---uu--u-x,u-u--u-uuu-ux,u-uu-------ux,u-uu-----uu-x,u-uu---u--u-x,u-uu---u-u--x,u-uu---uu-uux,u-uu--uu-u--x,u-uu-uu-----x,u-uuu----u-ux,u-uuu-uuuu-ux,uu-------uu-x,uu------uuu-x,uu------ux,uu---uu---uux,uu--u---u-u-x,uu--u--u----x,uu-uu-uu----x,uuu--u-----ux,uuu-u---u-u-x,uuu-u-uu--u-x,uuu-uuuu-u--x,uuuu--u---u-x
0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,12,0,67,67,11,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,2,3,0,44,44,4,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,13,0,65,65,12,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
