title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,total_unartistic,percent_clausulae
ad caesarem de re publ,239,5,1,4,0,14.0,1.0,4.0,12.0,8.0,9.0,3.0,2.0,5.0,3.0,4.0,0.0,10.0,3.0,16.0,3.0,3.0,8.0,1.0,4.0,50.0,29.0,32.0,5.0,2.0,113.0,3.0,121.0,0.49572649572649574
bellum iugurthinum,1319,26,8,13,1,72.0,22.0,13.0,30.0,65.0,74.0,16.0,10.0,6.0,32.0,28.0,17.0,19.0,19.0,92.0,11.0,13.0,43.0,11.0,10.0,325.0,127.0,163.0,49.0,6.0,603.0,20.0,690.0,0.48182521268368134
catilinae coniuratio,699,18,12,3,3,31.0,8.0,10.0,17.0,37.0,30.0,6.0,5.0,3.0,15.0,14.0,2.0,7.0,7.0,78.0,8.0,13.0,23.0,6.0,13.0,151.0,77.0,73.0,32.0,9.0,333.0,6.0,348.0,0.4977973568281938
historiae,632,178,3,26,27,34.0,6.0,2.0,16.0,35.0,29.0,4.0,1.0,2.0,1.0,7.0,4.0,4.0,9.0,49.0,3.0,5.0,20.0,0.0,4.0,110.0,34.0,52.0,9.0,2.0,235.0,12.0,219.0,0.5440528634361234
historiarum frr ampliora,260,12,1,7,1,17.0,3.0,1.0,5.0,14.0,16.0,5.0,0.0,0.0,4.0,6.0,0.0,3.0,3.0,21.0,2.0,0.0,4.0,0.0,1.0,67.0,22.0,44.0,7.0,1.0,105.0,2.0,143.0,0.4314516129032258
historiarum frr e codicibus,199,181,1,56,16,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,7.0,1.0,11.0,0.4444444444444444
historiarum frr e papyris,111,110,0,35,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
in m tullium ciceronem,48,2,1,1,0,4.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,6.0,5.0,6.0,0.0,0.0,29.0,0.0,17.0,0.6304347826086957
