title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,percent_clausulae
in verrem 2 2,3268,355,71,13,270,380.0,69.0,107.0,57.0,184.0,176.0,22.0,16.0,15.0,47.0,30.0,23.0,54.0,37.0,531.0,33.0,25.0,171.0,7.0,18.0,374.0,121.0,165.0,64.0,12.0,2738.0,175.0,1.0
in verrem 2 3,4381,628,76,53,496,456.0,78.0,111.0,87.0,220.0,244.0,35.0,24.0,14.0,50.0,45.0,33.0,52.0,66.0,827.0,40.0,33.0,195.0,8.0,14.0,479.0,137.0,191.0,57.0,11.0,3507.0,246.0,1.0
in verrem 2 4,3044,377,73,14,290,373.0,58.0,97.0,59.0,160.0,185.0,22.0,9.0,14.0,45.0,17.0,27.0,51.0,39.0,497.0,30.0,36.0,141.0,6.0,12.0,313.0,111.0,134.0,53.0,5.0,2494.0,173.0,1.0
in verrem 2 5,3261,369,44,10,315,438.0,66.0,109.0,60.0,184.0,172.0,29.0,10.0,16.0,39.0,23.0,14.0,27.0,44.0,600.0,27.0,38.0,158.0,2.0,23.0,346.0,90.0,145.0,47.0,12.0,2719.0,173.0,1.0
incertorum librorum fragmenta,31,3,0,1,2,3.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,26.0,2.0,1.0
laelius de amicitia,1886,223,39,4,180,209.0,32.0,72.0,57.0,150.0,76.0,19.0,18.0,5.0,18.0,14.0,13.0,21.0,14.0,287.0,27.0,20.0,83.0,8.0,9.0,181.0,62.0,101.0,20.0,9.0,1525.0,138.0,1.0
lucullus,2416,116,12,32,69,268.0,58.0,96.0,47.0,248.0,137.0,37.0,19.0,3.0,54.0,17.0,15.0,49.0,30.0,406.0,29.0,16.0,156.0,3.0,22.0,274.0,86.0,109.0,34.0,16.0,2229.0,71.0,1.0
orationum depertiarum frr,767,161,51,15,63,73.0,13.0,14.0,14.0,37.0,36.0,5.0,3.0,2.0,4.0,4.0,4.0,8.0,11.0,115.0,5.0,10.0,38.0,4.0,4.0,81.0,31.0,38.0,9.0,3.0,566.0,40.0,1.0
orationum incertarum frr,69,11,0,3,8,8.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,5.0,0.0,1.0,9.0,2.0,2.0,0.0,0.0,50.0,8.0,1.0
orator,2689,158,7,13,137,292.0,60.0,109.0,54.0,340.0,150.0,47.0,26.0,6.0,46.0,27.0,11.0,43.0,35.0,447.0,34.0,22.0,203.0,7.0,7.0,211.0,87.0,117.0,34.0,6.0,2421.0,110.0,1.0
paradoxa stoicorum,969,147,12,7,117,87.0,16.0,24.0,24.0,77.0,45.0,8.0,4.0,3.0,13.0,8.0,3.0,10.0,10.0,143.0,10.0,17.0,52.0,1.0,10.0,92.0,24.0,52.0,12.0,6.0,751.0,71.0,1.0
philippicae,9438,1189,364,19,806,1166.0,162.0,340.0,153.0,828.0,414.0,101.0,37.0,31.0,105.0,56.0,40.0,102.0,83.0,1524.0,114.0,86.0,418.0,15.0,44.0,1094.0,214.0,423.0,107.0,30.0,7687.0,562.0,1.0
philippicae 1,608,74,13,2,59,85.0,18.0,14.0,11.0,56.0,27.0,3.0,2.0,0.0,2.0,3.0,1.0,7.0,7.0,101.0,4.0,8.0,35.0,0.0,1.0,75.0,12.0,24.0,6.0,2.0,504.0,30.0,1.0
philippicae 10,430,70,32,1,37,61.0,10.0,12.0,4.0,36.0,18.0,6.0,3.0,1.0,5.0,2.0,2.0,5.0,2.0,59.0,2.0,4.0,19.0,0.0,2.0,41.0,17.0,16.0,5.0,4.0,336.0,24.0,1.0
