title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,percent_clausulae
ab urbe condita 39,411,15,15,0,0,21.0,10.0,4.0,3.0,11.0,8.0,1.0,0.0,3.0,0.0,1.0,3.0,1.0,2.0,46.0,1.0,3.0,14.0,1.0,4.0,158.0,43.0,42.0,11.0,4.0,395.0,1.0,1.0
ab urbe condita 4,708,48,41,4,2,41.0,15.0,13.0,11.0,34.0,9.0,1.0,2.0,6.0,2.0,2.0,4.0,2.0,5.0,80.0,5.0,7.0,34.0,2.0,2.0,235.0,55.0,72.0,17.0,2.0,658.0,2.0,1.0
ab urbe condita 40,1060,72,51,16,5,76.0,9.0,12.0,18.0,33.0,24.0,6.0,3.0,8.0,2.0,8.0,10.0,7.0,7.0,117.0,6.0,13.0,26.0,0.0,9.0,368.0,79.0,117.0,26.0,1.0,985.0,3.0,1.0
ab urbe condita 41,401,49,19,12,1,23.0,6.0,3.0,2.0,12.0,12.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,51.0,0.0,0.0,10.0,0.0,8.0,138.0,25.0,42.0,4.0,1.0,350.0,2.0,1.0
ab urbe condita 42,781,52,28,24,0,35.0,9.0,11.0,19.0,28.0,16.0,1.0,1.0,4.0,2.0,3.0,7.0,3.0,5.0,92.0,7.0,8.0,23.0,0.0,8.0,259.0,68.0,90.0,26.0,2.0,727.0,2.0,1.0
ab urbe condita 43,262,25,17,6,2,11.0,3.0,1.0,5.0,5.0,2.0,4.0,0.0,0.0,3.0,0.0,2.0,1.0,4.0,36.0,3.0,3.0,6.0,0.0,3.0,93.0,20.0,24.0,7.0,1.0,237.0,0.0,1.0
ab urbe condita 44,566,28,11,17,0,26.0,13.0,4.0,17.0,10.0,10.0,2.0,2.0,4.0,1.0,2.0,5.0,1.0,2.0,57.0,3.0,5.0,14.0,1.0,4.0,221.0,42.0,58.0,24.0,3.0,531.0,7.0,1.0
ab urbe condita 45,574,58,26,25,3,32.0,5.0,5.0,8.0,15.0,12.0,2.0,2.0,5.0,4.0,2.0,5.0,3.0,3.0,74.0,3.0,4.0,9.0,0.0,6.0,185.0,34.0,79.0,16.0,1.0,514.0,2.0,1.0
ab urbe condita 5,599,30,26,1,3,40.0,6.0,5.0,11.0,28.0,16.0,2.0,3.0,2.0,1.0,3.0,3.0,4.0,2.0,86.0,1.0,6.0,36.0,2.0,1.0,182.0,37.0,74.0,16.0,1.0,568.0,1.0,1.0
ab urbe condita 6,519,35,27,6,2,41.0,1.0,6.0,17.0,19.0,13.0,8.0,0.0,1.0,0.0,3.0,9.0,5.0,1.0,67.0,0.0,5.0,32.0,1.0,3.0,148.0,35.0,51.0,13.0,4.0,483.0,1.0,1.0
ab urbe condita 7,516,34,29,5,0,38.0,9.0,2.0,14.0,29.0,6.0,2.0,1.0,5.0,3.0,0.0,5.0,2.0,1.0,79.0,4.0,3.0,20.0,1.0,2.0,157.0,27.0,55.0,14.0,3.0,482.0,0.0,1.0
ab urbe condita 8,499,23,20,3,0,42.0,5.0,8.0,7.0,15.0,11.0,1.0,5.0,4.0,0.0,4.0,4.0,3.0,4.0,68.0,4.0,5.0,17.0,0.0,2.0,171.0,30.0,51.0,15.0,0.0,476.0,0.0,1.0
ab urbe condita 9,641,22,17,4,1,28.0,13.0,7.0,20.0,29.0,16.0,2.0,3.0,10.0,3.0,5.0,11.0,3.0,3.0,81.0,2.0,12.0,27.0,2.0,5.0,207.0,43.0,59.0,23.0,2.0,616.0,3.0,1.0
ab urbe condita praef.,11,1,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,10.0,0.0,1.0
auc perioch ex Poxy668,368,250,41,4,23,6.0,0.0,3.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,29.0,0.0,1.0,9.0,1.0,0.0,34.0,5.0,7.0,2.0,0.0,111.0,7.0,1.0
fragmenta,94,25,1,0,0,5.0,0.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,21.0,4.0,7.0,3.0,1.0,69.0,0.0,1.0
periochae librorum auc,1475,276,167,53,25,113.0,21.0,13.0,22.0,65.0,74.0,12.0,6.0,6.0,16.0,12.0,6.0,14.0,30.0,170.0,9.0,7.0,67.0,2.0,9.0,324.0,64.0,76.0,35.0,7.0,1180.0,19.0,1.0
